"","year","cell","cell_lat","cell_lng","gr_mn_all","gr_pall","gr_mn_for","gr_pfor","p_open","gr_mn_open","gr_mn_lag","...1","colddays","warmdays","spring.gdd","summer.gdd"
"17",2000,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,54,47,296.476521312688,762.886357873655
"18",2000,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,54,54,214.513145304802,679.360292174103
"19",2000,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,73,48,172.311136420203,621.915997624529
"20",2000,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,77,36,184.976543288595,609.649902947402
"21",2000,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,72,40,174.519418275891,656.251063631987
"22",2000,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,53,47,175.052140391158,670.974856694466
"23",2000,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,31,64,546.757016476862,1115.62196740437
"24",2000,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,40,66,455.150167135941,1020.23849216725
"25",2000,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,39,72,361.604214506575,873.296549932881
"26",2000,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,50,73,296.918402992538,760.162334131024
"27",2000,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,54,65,235.654852769315,741.199686669817
"28",2000,594,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,53,54,240.544020210946,707.575624615707
"29",2000,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,40,51,255.158463638164,763.881166660841
"30",2000,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,11,91,678.759746562449,1408.0176047844
"31",2000,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,18,85,619.435623321613,1243.52244692555
"32",2000,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,27,84,543.537541680905,1106.75644050357
"33",2000,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,36,79,476.229523068563,975.17098297598
"34",2000,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,42,89,356.527257440136,868.321939936546
"35",2000,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,45,59,348.820180463913,792.394036041228
"36",2000,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,25,85,370.219443525324,951.431321208384
"37",2000,644,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,6,106,694.387013626775,1374.45192768865
"38",2000,645,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,8,98,691.263302873628,1276.29084512077
"39",2000,646,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,18,90,629.231518361383,1140.68885629673
"40",2000,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,25,81,573.935522265294,1014.65511205993
"41",2000,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,23,88,504.706826786337,934.281318009442
"42",2000,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,16,99,542.151208243163,1099.14432888674
"43",2000,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,3,130,871.389002233006,1527.67350015911
"44",2000,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,4,116,758.122217968423,1365.05205058992
"45",2000,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,10,107,680.397876121585,1179.60931520434
"46",2000,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,15,85,547.680635284332,958.779812679834
"47",2000,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,4,114,708.561215948559,1223.09229632913
"48",2000,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,2,114,735.544051836812,1236.55344468766
"49",2000,703,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,2,125,839.216481394596,1331.23218942501
"50",2000,733,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1,146,800.492659217389,1355.80837639895
"51",2000,734,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,8,112,597.370154569761,1188.72003580667
"52",2000,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,18,97,258.077866209598,884.268342393476
"53",2000,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,35,70,129.286033204561,634.002925758577
"54",2000,739,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,45,61,109.81671414891,686.272412983615
"55",2000,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,53,63,60.6302592303741,592.694320258254
"56",2000,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,36,72,126.291552605457,708.524950918068
"57",2001,487,49.9751478154166,-61.8189891890389,152.5,1,152.25,0.96,0.04,158.5,6.24999999999994,230,103,36,52.5493481413875,345.282798836872
"58",2001,507,48.3185222794017,-93.0488899839306,146.48,1,146.43,0.98,0.02,148.929999999998,2.49999999999844,231,109,27,251.357490598733,762.051257983247
"59",2001,508,49.0717115252331,-89.1336983912323,150.73,1,150.74,1,0,NA,NA,232,115,24,135.8004993087,575.603356547028
"60",2001,509,49.7299451365089,-85.0805221420807,145.31,1,145.38,0.97,0.03,143.046666666667,-2.33333333333312,233,120,22,197.833471781553,584.791015524019
"61",2001,512,49.7299451372615,-72.4194778549693,148.19,1,148.14,0.95,0.05,149.14,1.00000000000031,236,114,14,203.703626128429,497.057310929091
"62",2001,513,49.0717115262395,-68.3663016055686,148.69,1,148.73,0.98,0.02,146.730000000001,-1.99999999999926,237,115,28,147.318529789691,524.883921641243
"63",2001,514,48.3185222805963,-64.4511100125928,152.64,1,152.61,0.99,0.01,155.609999999999,2.99999999999849,238,95,47,136.449121088868,613.886781992234
"64",2001,534,45.8181578968882,-94.2918383779928,148.28,1,136.68,0.54,0.46,161.897391304348,25.2173913043478,239,103,32,340.586798738765,959.549982247793
"65",2001,535,46.6202372401658,-90.5920142702139,137.73,1,137.74,0.99,0.01,136.739999999997,-1.00000000000261,240,96,33,235.316168014101,752.954720485412
"66",2001,536,47.3238018444925,-86.7658837943541,143.27,1,143.26,0.99,0.01,144.260000000003,1.00000000000259,241,100,46,104.57673043199,586.975115668549
"67",2001,537,47.9578000244938,-82.8176553580113,146.98,1,146.99,0.99,0.01,145.989999999997,-1.00000000000253,242,114,25,223.730214842782,639.549266418748
"68",2001,538,48.5865921308426,-78.7499999980182,147.87,1,148.06,0.97,0.03,141.726666666667,-6.33333333333337,243,120,20,257.792324809489,636.76555343015
"69",2001,539,47.9578000251635,-74.6823446390516,148.13,1,148.12,0.98,0.02,148.62,0.499999999999517,244,109,18,232.724889295326,551.391747771232
"70",2001,540,47.3238018454605,-70.7341162024827,146.37,1,146.44,0.95,0.05,145.04,-1.39999999999995,245,107,35,223.068824256188,609.08122131059
"71",2001,541,46.6202372413531,-66.9079857263678,147.42,1,147.2,0.97,0.03,154.533333333333,7.33333333333306,246,94,40,235.415742997029,722.380442976411
"72",2001,562,44.1402918686352,-91.9199480740028,142.26,1,128.98,0.45,0.55,153.125454545455,24.1454545454545,247,89,39,402.761896836114,1012.76416811581
"73",2001,563,44.8891978391312,-88.2953307659256,133.95,1,133.6,0.74,0.26,134.946153846154,1.34615384615384,248,82,36,302.801385837013,880.167796446456
"74",2001,564,45.5580435896312,-84.5586595325796,136.84,1,137.35,0.93,0.07,130.064285714286,-7.28571428571416,249,85,44,240.373438073377,760.27423682311
"75",2001,565,46.1870092076203,-80.7130536184924,141.8,1,141.93,0.98,0.02,135.430000000001,-6.4999999999992,250,100,40,235.864264942042,751.310816220011
"76",2001,566,46.1870092081857,-76.7869463785759,141.81,1,141.81,0.95,0.05,141.81,2.8421709430404e-13,251,97,21,287.617318122873,737.913962456205
"77",2001,567,45.5580435905451,-72.9413404642818,141.88,1,139.56,0.79,0.21,150.607619047619,11.047619047619,252,91,36,297.465786157041,736.074016888092
"78",2001,568,44.8891978402985,-69.2046692307013,141.35,1,141.35,0.99,0.01,141.35,-1.98951966012828e-13,253,85,44,276.992367979356,755.338216689377
"79",2001,589,41.5914814738607,-93.0964601408555,149.85,1,119.33,0.15,0.85,155.235882352941,35.9058823529412,254,68,39,544.009868128675,1167.85353548239
"80",2001,590,42.4255736420171,-89.6927335499158,142.42,1,122.69,0.23,0.77,148.313376623377,25.6233766233766,255,68,46,485.510441656364,1059.39516037967
"81",2001,591,43.1334602429176,-86.1445569064626,130.5,1,126.92,0.65,0.35,137.148571428571,10.2285714285714,256,59,55,382.079222765118,941.379607541766
"82",2001,592,43.7827146670404,-82.4962552442126,138.75,1,128.77,0.35,0.65,144.123846153846,15.3538461538461,257,67,54,320.421119243743,892.888503176537
"83",2001,593,44.4260057265326,-78.7499999978607,135.33,1,134.88,0.81,0.19,137.248421052632,2.36842105263165,258,74,44,298.227353077308,866.744481004579
"84",2001,594,43.7827146678839,-75.0037447526642,134.74,1,134.77,0.93,0.07,134.341428571429,-0.428571428571445,259,73,38,310.401749534286,826.374250378288
"85",2001,595,43.1334602440522,-71.3554430901979,134.83,1,134.76,0.99,0.01,141.760000000002,7.00000000000205,260,61,45,334.645961356103,853.354875581698
"86",2001,616,39.0182853806001,-94.233372640393,123.01,1,112.35,0.4,0.6,130.116666666667,17.7666666666667,261,31,52,725.90513978464,1369.27866125194
"87",2001,617,39.9013629432319,-90.9604566621439,139.48,1,116.05,0.26,0.74,147.712162162162,31.6621621621621,262,41,54,676.849061576248,1237.97079781554
"88",2001,618,40.6811083428193,-87.5982717795414,154.9,1,118.79,0.1,0.9,158.912222222222,40.1222222222222,263,45,55,603.387251724784,1138.28216740712
"89",2001,619,41.3602908290039,-84.1263735168693,145.51,1,122.25,0.16,0.84,149.940476190476,27.6904761904762,264,49,59,510.021752623134,1053.96058691549
"90",2001,620,42.005208471077,-80.5643406598932,131.77,1,127.07,0.71,0.29,143.276896551724,16.2068965517242,265,56,60,371.541162959852,953.732147945353
"91",2001,621,42.0052084718332,-76.9356593369912,132.17,1,131.69,0.92,0.08,137.69,5.9999999999998,266,52,42,374.485220754913,887.11131665961
"92",2001,622,41.3602908300926,-73.3736264798146,128.85,1,128.7,0.98,0.02,136.2,7.50000000000009,267,35,64,425.168700032668,1015.94328200758
"93",2001,644,37.3548453039452,-92.207396992102,109.15,1,109.16,0.97,0.03,108.826666666667,-0.333333333333158,268,21,70,771.869372712306,1363.01743571663
"94",2001,645,38.185511830815,-88.9526017248609,137.04,1,112.14,0.35,0.65,150.447692307692,38.3076923076923,269,29,73,782.275731643937,1292.63079795445
"95",2001,646,38.9133345719446,-85.6252957885435,127.7,1,113.2,0.6,0.4,149.45,36.25,270,28,70,696.488405705338,1217.00334104554
"96",2001,647,39.5762282432288,-82.228512671223,125.92,1,118.77,0.76,0.24,148.561666666667,29.7916666666667,271,27,64,583.028885043535,1079.6358492093
"97",2001,648,40.2321033043929,-78.7499999977146,124.76,1,124.73,0.94,0.0600000000000001,125.23,0.499999999999943,272,36,58,479.289127819976,1001.42258477117
"98",2001,649,39.5762282442583,-75.2714873254758,129.52,1,124.82,0.8,0.2,148.32,23.5000000000001,273,12,79,554.476077583385,1166.50253750041
"99",2001,672,35.6719141750947,-90.3080436912314,133.64,1,104.83,0.36,0.64,149.845625,45.015625,275,13,102,931.422090652692,1493.17883999812
"100",2001,673,36.4507394369357,-87.063122007697,108.26,1,105.6,0.84,0.16,122.225,16.6250000000001,276,13,88,815.915771802217,1343.57792324961
"101",2001,674,37.1280761088605,-83.7632953205549,113.67,1,113.77,0.98,0.02,108.77,-4.99999999999957,277,17,81,710.247515153899,1207.25158120776
"102",2001,675,37.7871442771923,-80.4397747302607,123.18,1,123.46,0.97,0.03,114.126666666667,-9.33333333333296,278,22,65,531.321678844639,988.262162607834
"103",2001,676,37.7871442781489,-77.0602252664455,120.27,1,118.89,0.94,0.0600000000000001,141.89,23,279,3,91,691.475776076105,1261.13660582776
"104",2001,702,35.3305934931474,-82.0025583843541,112.19,1,112.28,0.99,0.01,103.279999999999,-9.00000000000063,284,2,99,747.367323905107,1231.42000012626
"105",2001,703,35.9983013483697,-78.7499999975762,121,1,117.34,0.9,0.1,153.94,36.5999999999999,285,0,108,833.749258692564,1333.34096992562
"106",2001,733,35.330593494296,-75.4974416214384,130.61,1,125.08,0.78,0.22,150.216363636364,25.1363636363637,294,0,128,823.15375144408,1382.19087899835
"107",2001,734,37.1280761101847,-73.7367046853622,146.16,1,142.09,0.66,0.34,154.060588235294,11.9705882352941,295,4,86,597.411543853588,1234.48008926252
"108",2001,736,40.6811083445034,-69.9017282266508,139.41,1,139.19,0.95,0.05,143.59,4.40000000000026,296,17,78,346.079047354854,960.419685546837
"109",2001,738,44.1402918706975,-65.5800519324866,148.48,1,148.56,0.99,0.01,140.559999999999,-8.00000000000085,297,52,58,201.433494788113,671.352537929379
"110",2001,739,45.8181578991492,-63.2081616286461,152.16,1,152.34,0.93,0.07,149.768571428571,-2.57142857142884,298,75,59,170.363312191629,763.510541697682
"111",2001,740,47.4513518013259,-60.6792006261634,160.61,1,160.28,0.92,0.08,164.405,4.12500000000009,299,76,58,94.0147796876867,647.474849281551
"112",2001,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,46,65,178.341238556913,732.790592154506
"113",2002,487,49.9751478154166,-61.8189891890389,159,1,158.73,0.96,0.04,165.48,6.75000000000003,385,105,35,25.2310437496483,366.965258688265
"114",2002,507,48.3185222794017,-93.0488899839306,157.87,1,157.74,0.98,0.02,164.239999999999,6.49999999999935,386,78,30,214.49537041803,853.23225385506
"115",2002,508,49.0717115252331,-89.1336983912323,162.2,1,162.21,1,0,NA,NA,387,91,32,92.1672675674642,693.850081560912
"116",2002,509,49.7299451365089,-85.0805221420807,160.5,1,160.51,0.97,0.03,160.176666666667,-0.333333333332916,388,101,23,111.687707945255,688.738363587251
"117",2002,512,49.7299451372615,-72.4194778549693,161.76,1,161.8,0.95,0.05,161,-0.800000000000495,391,113,26,84.5348538138273,544.521605312779
"118",2002,513,49.0717115262395,-68.3663016055686,160.9,1,161.02,0.98,0.02,155.02,-5.99999999999977,392,109,36,80.435373042188,521.308129842488
"119",2002,514,48.3185222805963,-64.4511100125928,159.87,1,159.85,0.99,0.01,161.850000000001,2.00000000000102,393,94,43,84.2758910544225,575.465593013455
"120",2002,534,45.8181578968882,-94.2918383779928,158.05,1,150.98,0.54,0.46,166.349565217391,15.3695652173913,394,62,44,313.149966875186,1021.57047331703
"121",2002,535,46.6202372401658,-90.5920142702139,153.74,1,153.72,0.99,0.01,155.720000000002,2.00000000000216,395,68,37,196.446517099997,834.992217659554
"122",2002,536,47.3238018444925,-86.7658837943541,157.59,1,157.6,0.99,0.01,156.6,-0.999999999999886,396,67,53,90.976114914455,710.351392295172
"123",2002,537,47.9578000244938,-82.8176553580113,161.5,1,161.51,0.99,0.01,160.510000000002,-0.999999999997982,397,94,38,143.664256840154,731.780696346901
"124",2002,538,48.5865921308426,-78.7499999980182,161.4,1,161.63,0.97,0.03,153.963333333334,-7.66666666666598,398,102,36,138.676097171605,707.428285194856
"125",2002,539,47.9578000251635,-74.6823446390516,161.69,1,161.68,0.98,0.02,162.179999999999,0.499999999999176,399,101,33,110.415778535452,645.065988040195
"126",2002,540,47.3238018454605,-70.7341162024827,157.76,1,158.14,0.95,0.05,150.54,-7.59999999999982,400,92,35,114.818751768908,667.251593633189
"127",2002,541,46.6202372413531,-66.9079857263678,155.11,1,154.87,0.97,0.03,162.870000000001,8.00000000000077,401,79,40,140.212373502224,708.539535654408
"128",2002,562,44.1402918686352,-91.9199480740028,151.05,1,140.91,0.45,0.55,159.346363636364,18.4363636363636,402,42,63,380.848113723123,1085.67580856509
"129",2002,563,44.8891978391312,-88.2953307659256,147.22,1,147.38,0.74,0.26,146.764615384615,-0.615384615384613,403,46,54,245.686067350441,967.262819061685
"130",2002,564,45.5580435896312,-84.5586595325796,151.05,1,151.82,0.93,0.07,140.82,-10.9999999999997,404,51,52,177.533630748593,887.472223680834
"131",2002,565,46.1870092076203,-80.7130536184924,155.46,1,155.66,0.98,0.02,145.660000000001,-9.99999999999926,405,67,49,149.048720265846,857.58088626107
"132",2002,566,46.1870092081857,-76.7869463785759,151.17,1,151.49,0.95,0.05,145.089999999999,-6.40000000000057,406,68,39,182.040845201861,826.365593635025
"133",2002,567,45.5580435905451,-72.9413404642818,149.88,1,147.5,0.79,0.21,158.833333333333,11.3333333333333,407,58,44,191.511628843379,822.522887756374
"134",2002,568,44.8891978402985,-69.2046692307013,148.05,1,148.09,0.99,0.01,144.09,-4.00000000000023,408,47,44,159.825845874582,795.46079055602
"135",2002,589,41.5914814738607,-93.0964601408555,147.04,1,120.15,0.15,0.85,151.785294117647,31.635294117647,409,24,75,536.028139272701,1205.40220229276
"136",2002,590,42.4255736420171,-89.6927335499158,147.72,1,129.63,0.23,0.77,153.123506493506,23.4935064935065,410,28,72,430.558526858162,1152.17122499398
"137",2002,591,43.1334602429176,-86.1445569064626,141.85,1,137.93,0.65,0.35,149.13,11.2,411,27,79,321.784060456215,1063.17960407938
"138",2002,592,43.7827146670404,-82.4962552442126,149.79,1,136.35,0.35,0.65,157.026923076923,20.6769230769231,412,33,77,270.102700792806,1017.85594557213
"139",2002,593,44.4260057265326,-78.7499999978607,142.83,1,142.87,0.81,0.19,142.659473684211,-0.210526315789451,413,42,66,227.086294785421,988.345118468573
"140",2002,594,43.7827146678839,-75.0037447526642,139.18,1,139.85,0.93,0.07,130.278571428572,-9.57142857142824,414,35,50,249.231379174079,907.263825855905
"141",2002,595,43.1334602440522,-71.3554430901979,138.25,1,138.25,0.99,0.01,138.249999999999,-7.95807864051312e-13,415,20,49,275.965732245969,943.180975868242
"142",2002,616,39.0182853806001,-94.233372640393,124.67,1,115.82,0.4,0.6,130.57,14.75,416,14,85,660.884476153592,1432.74793894638
"143",2002,617,39.9013629432319,-90.9604566621439,144.1,1,118.47,0.26,0.74,153.105135135135,34.6351351351351,417,16,90,593.556273659886,1331.26542054821
"144",2002,618,40.6811083428193,-87.5982717795414,166.27,1,123.16,0.1,0.9,171.06,47.9,418,19,99,513.917458694723,1281.66238570505
"145",2002,619,41.3602908290039,-84.1263735168693,151.81,1,124.61,0.16,0.84,156.990952380952,32.3809523809524,419,19,95,435.947899501378,1208.0664971595
"146",2002,620,42.005208471077,-80.5643406598932,134.48,1,128.36,0.71,0.29,149.463448275862,21.103448275862,420,25,93,329.33187021426,1098.8874219996
"147",2002,621,42.0052084718332,-76.9356593369912,132.18,1,132.51,0.92,0.08,128.385,-4.12499999999983,421,20,66,340.58536086833,1027.49577083094
"148",2002,622,41.3602908300926,-73.3736264798146,130.36,1,130.36,0.98,0.02,130.36,1.70530256582424e-13,422,7,72,381.5101527102,1113.1010295405
"149",2002,644,37.3548453039452,-92.207396992102,112.57,1,112.64,0.97,0.03,110.306666666666,-2.33333333333377,423,9,101,698.733730582908,1402.92313019539
"150",2002,645,38.185511830815,-88.9526017248609,138.63,1,113.42,0.36,0.64,152.810625,39.390625,424,11,102,704.803968208888,1431.67969814152
"151",2002,646,38.9133345719446,-85.6252957885435,128.65,1,113.59,0.61,0.39,152.205384615385,38.6153846153846,425,8,104,638.211651722303,1386.98468816944
"152",2002,647,39.5762282432288,-82.228512671223,126.21,1,119.65,0.77,0.23,148.171739130435,28.5217391304347,426,15,87,547.396818449187,1267.40152708729
"153",2002,648,40.2321033043929,-78.7499999977146,124.26,1,124.93,0.94,0.0600000000000001,113.763333333333,-11.1666666666668,427,15,88,487.741482618764,1158.058012285
"154",2002,649,39.5762282442583,-75.2714873254758,119.38,1,117.15,0.81,0.19,128.886842105263,11.7368421052631,428,2,98,564.336517680887,1296.6899125972
"155",2002,672,35.6719141750947,-90.3080436912314,141.7,1,109.9,0.37,0.63,160.37619047619,50.4761904761904,430,3,123,887.384063135487,1538.7358132698
"156",2002,673,36.4507394369357,-87.063122007697,111.6,1,109.62,0.84,0.16,121.995,12.375,431,4,112,778.683356835765,1465.6497511892
"157",2002,674,37.1280761088605,-83.7632953205549,114.04,1,114.16,0.98,0.02,108.160000000001,-5.99999999999922,432,6,106,694.752969954501,1349.19889535501
"158",2002,675,37.7871442771923,-80.4397747302607,122.72,1,123.1,0.97,0.03,110.433333333333,-12.6666666666667,433,9,81,555.437856395334,1146.83258861801
"159",2002,676,37.7871442781489,-77.0602252664455,115.58,1,114.61,0.94,0.0600000000000001,130.776666666667,16.1666666666667,434,0,111,758.98113893826,1408.37930803865
"160",2002,702,35.3305934931474,-82.0025583843541,110.32,1,110.42,0.99,0.01,100.42,-10.0000000000004,439,1,112,779.605298832223,1350.79672880839
"161",2002,703,35.9983013483697,-78.7499999975762,114.76,1,111.25,0.9,0.1,146.35,35.1000000000001,440,1,124,899.115109643859,1464.95074069571
"162",2002,733,35.330593494296,-75.4974416214384,127.07,1,120.8,0.78,0.22,149.3,28.5,449,0,153,889.744678640935,1520.88749887801
"163",2002,734,37.1280761101847,-73.7367046853622,139.06,1,135.17,0.69,0.31,147.718387096774,12.5483870967743,450,1,127,706.101405855115,1416.44447558639
"164",2002,736,40.6811083445034,-69.9017282266508,138.58,1,138.5,0.95,0.05,140.1,1.60000000000036,451,1,106,273.479121567264,1050.85676146317
"165",2002,738,44.1402918706975,-65.5800519324866,152.52,1,152.63,0.99,0.01,141.630000000001,-10.9999999999994,452,26,65,112.412833891823,697.630794261127
"166",2002,739,45.8181578991492,-63.2081616286461,153.62,1,153.65,0.93,0.07,153.221428571428,-0.428571428571587,453,52,59,109.255032138317,711.361046604654
"167",2002,740,47.4513518013259,-60.6792006261634,162.1,1,161.56,0.92,0.08,168.31,6.75000000000003,454,63,54,56.0029434090982,565.100916927916
"168",2002,766,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,30,69,90.6374729447057,722.866842251466
"169",2003,487,49.9751478154166,-61.8189891890389,151.11,1,150.86,0.96,0.04,157.11,6.24999999999997,540,120,21,41.5488598013513,380.437320969138
"170",2003,507,48.3185222794017,-93.0488899839306,144.12,1,144.02,0.98,0.02,149.02,5,541,107,12,271.627081737083,773.245061484529
"171",2003,508,49.0717115252331,-89.1336983912323,148.29,1,148.3,1,0,NA,NA,542,115,14,161.711234733544,645.468703801305
"172",2003,509,49.7299451365089,-85.0805221420807,147.55,1,147.88,0.97,0.03,136.88,-10.9999999999999,543,123,11,187.110888068462,602.918987788463
"173",2003,512,49.7299451372615,-72.4194778549693,151.48,0.99,151.4,0.94,0.05,183.28,31.8799999999996,546,136,12,139.661251405525,533.968731334422
"174",2003,513,49.0717115262395,-68.3663016055686,153.06,1,153.12,0.98,0.02,150.12,-3.00000000000043,547,128,15,112.919486306673,525.718153282533
"175",2003,514,48.3185222805963,-64.4511100125928,155.64,1,155.6,0.98,0.02,157.599999999999,1.9999999999992,548,110,30,104.786478383043,605.540458078954
"176",2003,534,45.8181578968882,-94.2918383779928,153.32,1,143.94,0.54,0.46,164.331304347826,20.3913043478261,549,82,29,350.189977144411,958.69448788274
"177",2003,535,46.6202372401658,-90.5920142702139,147.59,1,147.5,0.99,0.01,156.5,8.99999999999963,550,88,20,216.452812541848,777.663252928319
"178",2003,536,47.3238018444925,-86.7658837943541,149.73,1,149.74,0.99,0.01,148.739999999998,-1.00000000000219,551,95,26,128.52683559811,651.163542241272
"179",2003,537,47.9578000244938,-82.8176553580113,150.82,1,150.82,0.99,0.01,150.819999999999,-1.33582034322899e-12,552,118,16,195.540476918709,635.249146206262
"180",2003,538,48.5865921308426,-78.7499999980182,152.8,1,152.91,0.97,0.03,149.243333333334,-3.66666666666634,553,122,16,185.955548164341,604.503527148546
"181",2003,539,47.9578000251635,-74.6823446390516,152.34,1,152.36,0.98,0.02,151.36,-1.00000000000048,554,121,13,155.565227579866,602.683934416518
"182",2003,540,47.3238018454605,-70.7341162024827,152.46,1,152.39,0.95,0.05,153.790000000001,1.40000000000063,555,117,17,136.629549005643,621.876173556481
"183",2003,541,46.6202372413531,-66.9079857263678,152.2,1,151.95,0.97,0.03,160.283333333334,8.33333333333351,556,104,23,163.262245125977,746.7685337325
"184",2003,562,44.1402918686352,-91.9199480740028,151.1,1,139.23,0.45,0.55,160.811818181818,21.5818181818182,557,72,36,372.87752772836,1028.07687046868
"185",2003,563,44.8891978391312,-88.2953307659256,149.54,1,147.71,0.74,0.26,154.748461538461,7.03846153846146,558,76,33,246.139154365332,875.501643592571
"186",2003,564,45.5580435896312,-84.5586595325796,145.84,1,146.33,0.93,0.07,139.33,-7.00000000000006,559,82,33,186.28205348882,760.613873747549
"187",2003,565,46.1870092076203,-80.7130536184924,148.11,1,148.2,0.98,0.02,143.700000000001,-4.49999999999892,560,97,26,172.992435099167,756.219682093031
"188",2003,566,46.1870092081857,-76.7869463785759,147.07,1,146.93,0.95,0.05,149.73,2.79999999999998,561,101,24,211.6319717532,777.932329505732
"189",2003,567,45.5580435905451,-72.9413404642818,149.64,1,146.14,0.79,0.21,162.806666666667,16.6666666666667,562,89,29,204.870598927474,797.859138248836
"190",2003,568,44.8891978402985,-69.2046692307013,148.31,1,148.33,0.99,0.01,146.33,-1.99999999999977,563,76,25,179.599523096486,776.96269012952
"191",2003,589,41.5914814738607,-93.0964601408555,150.36,1,121.85,0.15,0.85,155.391176470588,33.5411764705883,564,49,46,483.899606722922,1140.53795391065
"192",2003,590,42.4255736420171,-89.6927335499158,151.87,1,133.49,0.23,0.77,157.36012987013,23.8701298701299,565,55,47,393.112273436176,1077.55626805129
"193",2003,591,43.1334602429176,-86.1445569064626,141.7,1,137.71,0.65,0.35,149.11,11.3999999999999,566,64,53,272.587504581559,940.774422588323
"194",2003,592,43.7827146670404,-82.4962552442126,149.74,1,140.21,0.35,0.65,154.871538461538,14.6615384615385,567,73,44,210.593652442905,878.204629984388
"195",2003,593,44.4260057265326,-78.7499999978607,141.1,1,140.47,0.81,0.19,143.785789473684,3.31578947368416,568,78,41,205.859184890763,864.596373515609
