ID,lonid,latid,ObsYear,season,VANCAR.median,DANPLE.median,AGRAVAN.median,EURPRO.median,CHICAT.median,ASCMON.median,VANCAR.n,DANPLE.n,AGRAVAN.n,EURPRO.n,CHICAT.n,ASCMON.n
29,-101.25,33.75,2012,spring,NA,105,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
30,-101.25,33.75,2017,spring,102,115.5,NA,NA,NA,NA,56,20,NA,NA,NA,NA
31,-101.75,31.75,2007,fall,NA,195,195,NA,NA,NA,NA,5,7,NA,NA,NA
32,-101.75,31.75,2008,fall,200,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
33,-101.75,31.75,2009,fall,290,290,290,NA,NA,NA,7,5,7,NA,NA,NA
34,-101.75,31.75,2009,spring,179,179,179,NA,NA,NA,7,5,7,NA,NA,NA
35,-101.75,31.75,2010,fall,199,199,296,NA,NA,NA,7,5,7,NA,NA,NA
36,-101.75,31.75,2015,fall,288,288,NA,NA,NA,NA,7,5,NA,NA,NA,NA
37,-101.75,31.75,2015,spring,177,NA,177,NA,NA,NA,7,NA,7,NA,NA,NA
38,-101.75,31.75,2016,fall,NA,290,290,NA,NA,NA,NA,5,7,NA,NA,NA
39,-101.75,31.75,2016,spring,180,180,180,NA,NA,NA,7,5,7,NA,NA,NA
40,-101.75,31.75,2018,fall,NA,280,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
41,-101.75,33.75,2002,fall,237,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
42,-101.75,33.75,2003,spring,155,124,155,NA,NA,NA,21,5,14,NA,NA,NA
43,-101.75,33.75,2009,fall,262.5,273,NA,NA,NA,NA,28,10,NA,NA,NA,NA
44,-101.75,33.75,2012,spring,104.5,76,NA,NA,NA,NA,14,5,NA,NA,NA,NA
45,-101.75,33.75,2013,fall,271.5,271,NA,NA,NA,NA,14,5,NA,NA,NA,NA
46,-101.75,33.75,2016,fall,NA,271,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
47,-101.75,33.75,2016,spring,NA,NA,150,NA,NA,NA,NA,NA,7,NA,NA,NA
48,-101.75,33.75,2017,fall,278.5,280,NA,NA,NA,NA,28,20,NA,NA,NA,NA
49,-101.75,34.75,2003,spring,125,125,NA,NA,NA,NA,14,10,NA,NA,NA,NA
50,-101.75,35.75,2002,fall,227,227,NA,NA,NA,NA,7,5,NA,NA,NA,NA
51,-101.75,35.75,2003,spring,126,126,NA,NA,NA,NA,7,5,NA,NA,NA,NA
52,-101.75,43.75,2016,fall,208,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
53,-101.75,50.75,1999,fall,NA,182,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
54,-101.75,50.75,2001,fall,188,188,NA,NA,NA,NA,7,5,NA,NA,NA,NA
55,-101.75,50.75,2002,spring,NA,171,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
56,-101.75,51.75,2001,spring,NA,161,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
57,-101.75,51.75,2003,spring,169,169,NA,NA,NA,NA,7,5,NA,NA,NA,NA
58,-102.25,31.75,1987,fall,NA,NA,192,NA,NA,NA,NA,NA,7,NA,NA,NA
59,-102.25,31.75,1988,fall,198,NA,198,NA,NA,NA,7,NA,7,NA,NA,NA
60,-102.25,31.75,1989,fall,196,196,196,NA,NA,NA,7,5,7,NA,NA,NA
61,-102.25,31.75,1990,fall,NA,NA,185,NA,NA,NA,NA,NA,7,NA,NA,NA
62,-102.25,31.75,1991,spring,NA,NA,173,NA,NA,NA,NA,NA,7,NA,NA,NA
63,-102.25,31.75,1992,fall,186,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
64,-102.25,31.75,1993,fall,NA,NA,184,NA,NA,NA,NA,NA,7,NA,NA,NA
65,-102.25,31.75,1994,fall,185,185,185,NA,NA,NA,7,5,7,NA,NA,NA
66,-102.25,31.75,1995,fall,185,185,185,NA,NA,NA,7,5,7,NA,NA,NA
67,-102.25,31.75,1996,fall,NA,NA,188,NA,NA,NA,NA,NA,7,NA,NA,NA
68,-102.25,31.75,1997,spring,179,NA,179,NA,NA,NA,7,NA,7,NA,NA,NA
69,-102.25,31.75,1998,spring,178,NA,178,NA,NA,NA,7,NA,7,NA,NA,NA
70,-102.25,31.75,1999,fall,191,191,191,NA,NA,NA,7,5,7,NA,NA,NA
71,-102.25,31.75,2000,fall,197,197,197,NA,NA,NA,7,5,7,NA,NA,NA
72,-102.25,31.75,2001,fall,188,226,188,NA,NA,NA,7,10,7,NA,NA,NA
73,-102.25,31.75,2002,fall,NA,NA,187,NA,NA,NA,NA,NA,7,NA,NA,NA
74,-102.25,31.75,2002,spring,NA,145,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
75,-102.25,31.75,2003,fall,193,193,193,NA,NA,NA,7,5,7,NA,NA,NA
76,-102.25,31.75,2004,spring,164,164,164,NA,NA,NA,7,5,7,NA,NA,NA
77,-102.25,31.75,2005,fall,183,183,183,NA,NA,NA,7,5,7,NA,NA,NA
78,-102.25,31.75,2006,fall,NA,189,189,NA,NA,NA,NA,5,7,NA,NA,NA
79,-102.25,31.75,2007,fall,188,NA,188,NA,NA,NA,7,NA,7,NA,NA,NA
80,-102.25,31.75,2008,fall,243,292,243,NA,NA,NA,14,5,14,NA,NA,NA
81,-102.25,31.75,2009,fall,241.5,241.5,241.5,NA,NA,NA,14,10,14,NA,NA,NA
82,-102.25,31.75,2010,fall,191,247.5,247.5,NA,NA,NA,7,10,14,NA,NA,NA
83,-102.25,31.75,2011,fall,288,288,288,NA,NA,NA,7,5,7,NA,NA,NA
84,-102.25,31.75,2012,fall,240.5,240.5,240.5,NA,NA,NA,14,10,14,NA,NA,NA
85,-102.25,31.75,2013,fall,243,243,187,NA,NA,NA,14,10,7,NA,NA,NA
86,-102.25,31.75,2014,fall,235,270,235,NA,NA,NA,14,5,14,NA,NA,NA
87,-102.25,31.75,2015,fall,245,295,195,NA,NA,NA,14,5,7,NA,NA,NA
88,-102.25,31.75,2016,fall,288,288,288,NA,NA,NA,7,5,7,NA,NA,NA
89,-102.25,31.75,2016,spring,178,178,165,NA,NA,NA,7,5,14,NA,NA,NA
90,-102.25,31.75,2018,fall,227.5,273,227.5,NA,NA,NA,14,5,14,NA,NA,NA
91,-102.25,40.25,2003,fall,191,191,NA,NA,NA,NA,7,5,NA,NA,NA,NA
92,-102.25,43.75,1991,spring,180,180,NA,NA,NA,NA,7,5,NA,NA,NA,NA
93,-102.25,43.75,1992,spring,180,180,NA,NA,NA,NA,7,5,NA,NA,NA,NA
94,-102.25,43.75,1994,fall,NA,185,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
95,-102.25,43.75,1998,spring,NA,179,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
96,-102.25,43.75,2001,fall,190,190,NA,NA,NA,NA,7,5,NA,NA,NA,NA
97,-102.25,49.25,2001,fall,200,200,NA,NA,NA,NA,7,5,NA,NA,NA,NA
98,-102.75,29.25,1999,spring,NA,NA,150,NA,NA,NA,NA,NA,7,NA,NA,NA
99,-102.75,49.25,1997,fall,NA,212,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
100,-102.75,49.25,1998,fall,NA,209,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
101,-102.75,49.25,1999,fall,NA,208,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
102,-102.75,49.25,2001,fall,224,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
103,-102.75,49.25,2003,fall,NA,233,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
104,-102.75,49.25,2006,spring,NA,155,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
105,-103.25,29.25,1999,spring,NA,NA,149,NA,NA,NA,NA,NA,7,NA,NA,NA
106,-103.25,29.25,2001,fall,189,189,189,NA,NA,NA,7,5,7,NA,NA,NA
107,-103.25,29.25,2004,spring,NA,NA,155,NA,NA,NA,NA,NA,7,NA,NA,NA
108,-103.25,29.75,1999,spring,NA,NA,151,NA,NA,NA,NA,NA,7,NA,NA,NA
109,-103.25,29.75,2001,spring,NA,120,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
110,-103.25,29.75,2010,fall,286,286,286,NA,NA,NA,7,15,7,NA,NA,NA
111,-103.25,29.75,2014,fall,286,286,NA,NA,NA,NA,14,10,NA,NA,NA,NA
112,-103.25,33.75,2002,spring,91,91,NA,NA,NA,NA,7,5,NA,NA,NA,NA
113,-103.25,34.75,2002,fall,293,293,NA,NA,NA,NA,7,10,NA,NA,NA,NA
114,-103.25,43.75,1994,fall,185,185,NA,NA,NA,NA,7,5,NA,NA,NA,NA
115,-103.25,43.75,1995,fall,182,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
116,-103.25,43.75,1997,fall,183,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
117,-103.25,43.75,1998,spring,180,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
118,-103.25,43.75,2015,fall,NA,195,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
119,-103.25,43.75,2019,spring,175.5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
120,-103.25,47.75,1982,spring,NA,172,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
121,-103.75,30.75,1992,fall,229,229,229,NA,NA,NA,7,5,7,NA,NA,NA
122,-103.75,30.75,2001,spring,117,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
123,-103.75,30.75,2005,fall,NA,228,228,NA,NA,NA,NA,5,7,NA,NA,NA
124,-103.75,30.75,2007,fall,184,NA,184,NA,NA,NA,7,NA,7,NA,NA,NA
125,-103.75,30.75,2007,spring,122,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
126,-103.75,30.75,2012,fall,196,196,NA,NA,NA,NA,7,5,NA,NA,NA,NA
127,-103.75,30.75,2013,fall,232,232,232,NA,NA,NA,14,10,14,NA,NA,NA
128,-103.75,34.25,2001,fall,213,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
129,-103.75,35.75,2001,spring,169,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
130,-103.75,35.75,2003,spring,173,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
131,-103.75,42.25,2019,spring,170,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
132,-103.75,42.75,1985,fall,202,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
133,-103.75,42.75,1986,fall,193,193,NA,NA,NA,NA,7,5,NA,NA,NA,NA
134,-103.75,42.75,1987,fall,195,195,NA,NA,NA,NA,7,5,NA,NA,NA,NA
135,-103.75,42.75,1988,fall,195,195,NA,NA,NA,NA,7,5,NA,NA,NA,NA
136,-103.75,43.75,2003,fall,NA,196,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
137,-103.75,44.25,2007,fall,186,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
138,-103.75,44.25,2007,spring,180.5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA
139,-103.75,49.25,2001,fall,259,259,NA,NA,NA,NA,7,5,NA,NA,NA,NA
140,-103.75,49.25,2006,spring,157,166.5,NA,NA,NA,NA,14,20,NA,NA,NA,NA
141,-103.75,49.75,2001,fall,NA,185,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
142,-103.75,49.75,2003,spring,NA,180,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
143,-103.75,49.75,2005,spring,154,168.5,NA,NA,NA,NA,28,20,NA,NA,NA,NA
144,-103.75,49.75,2006,spring,NA,170,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
145,-103.75,50.75,1990,spring,167,167,NA,NA,NA,NA,7,5,NA,NA,NA,NA
146,-103.75,50.75,1991,spring,164,164,NA,NA,NA,NA,7,5,NA,NA,NA,NA
147,-103.75,50.75,1992,spring,173,173,NA,NA,NA,NA,7,5,NA,NA,NA,NA
148,-103.75,50.75,1994,spring,NA,169,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
149,-103.75,50.75,1995,spring,168,168,NA,NA,NA,NA,7,5,NA,NA,NA,NA
150,-103.75,50.75,1997,spring,174,174,NA,NA,NA,NA,7,5,NA,NA,NA,NA
151,-103.75,50.75,1999,spring,NA,169,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
152,-103.75,50.75,2000,spring,NA,175,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
153,-103.75,50.75,2001,spring,170,170,NA,NA,NA,NA,7,5,NA,NA,NA,NA
154,-103.75,50.75,2002,spring,NA,173,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
155,-103.75,50.75,2003,spring,172,172,NA,NA,NA,NA,7,5,NA,NA,NA,NA
156,-103.75,50.75,2005,spring,176,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
157,-103.75,50.75,2006,spring,NA,175,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
158,-103.75,50.75,2007,spring,NA,174,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
159,-103.75,50.75,2009,spring,171,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
160,-103.75,50.75,2010,spring,NA,176,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
161,-103.75,50.75,2012,spring,NA,175,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
162,-104.25,30.75,2001,fall,196,NA,196,NA,NA,NA,7,NA,7,NA,NA,NA
163,-104.25,30.75,2004,fall,231,232,232,NA,NA,NA,7,5,7,NA,NA,NA
164,-104.25,30.75,2010,fall,NA,282,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
165,-104.25,30.75,2016,fall,292,292,292,NA,NA,NA,14,10,14,NA,NA,NA
166,-104.25,32.25,2000,fall,266,266,NA,NA,NA,NA,7,5,NA,NA,NA,NA
167,-104.25,32.25,2001,fall,265,265,NA,NA,NA,NA,14,10,NA,NA,NA,NA
168,-104.25,32.25,2002,fall,264,244,244,NA,NA,NA,7,25,14,NA,NA,NA
169,-104.25,32.25,2002,spring,NA,NA,168,NA,NA,NA,NA,NA,7,NA,NA,NA
170,-104.25,32.25,2003,fall,229,229,229,NA,NA,NA,28,20,14,NA,NA,NA
171,-104.25,33.25,2001,fall,285,285,NA,NA,NA,NA,14,10,NA,NA,NA,NA
172,-104.25,33.25,2002,spring,NA,103,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
173,-104.25,33.75,2001,fall,285,256,NA,NA,NA,NA,14,5,NA,NA,NA,NA
174,-104.25,33.75,2002,spring,NA,103,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
175,-104.25,34.25,2012,spring,111,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
176,-104.25,35.25,2003,spring,171,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
177,-104.25,35.25,2004,spring,129,NA,129,NA,NA,NA,7,NA,7,NA,NA,NA
178,-104.25,35.75,2003,spring,173,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
179,-104.25,36.75,2002,spring,174,174,174,NA,NA,NA,21,15,14,NA,NA,NA
180,-104.25,37.25,1999,spring,178,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
181,-104.25,37.25,2000,spring,177,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
182,-104.25,37.25,2001,spring,175,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
183,-104.25,37.25,2002,spring,174,174,174,NA,NA,NA,7,5,7,NA,NA,NA
184,-104.25,37.25,2003,spring,166,166,NA,NA,NA,NA,7,5,NA,NA,NA,NA
185,-104.25,37.25,2004,fall,193,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
186,-104.25,37.25,2005,spring,177,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
187,-104.25,39.25,1997,spring,153,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
188,-104.25,39.75,2014,fall,NA,215,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
189,-104.25,39.75,2017,fall,NA,285,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
190,-104.25,40.75,2013,fall,NA,272,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
191,-104.25,44.25,2000,fall,NA,186,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
192,-104.25,49.25,2001,fall,NA,185,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
193,-104.25,49.25,2002,spring,NA,164,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
194,-104.25,49.25,2003,fall,223,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
195,-104.25,49.25,2006,fall,NA,189,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
196,-104.25,49.75,2003,fall,215,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
197,-104.25,49.75,2004,fall,203,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
198,-104.25,49.75,2005,spring,113,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
199,-104.25,49.75,2006,fall,NA,230,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
200,-104.75,31.25,2017,spring,NA,126,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
201,-104.75,31.75,1999,spring,NA,148,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
202,-104.75,31.75,2017,spring,NA,126,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
203,-104.75,32.25,2000,fall,268,268,NA,NA,NA,NA,7,5,NA,NA,NA,NA
204,-104.75,32.25,2003,fall,229,229,229,NA,NA,NA,7,5,7,NA,NA,NA
205,-104.75,33.25,2002,spring,NA,104,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
206,-104.75,35.25,2002,spring,159,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
207,-104.75,35.25,2003,spring,172,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
208,-104.75,35.25,2004,spring,147,NA,129,NA,NA,NA,14,NA,7,NA,NA,NA
209,-104.75,36.75,2002,spring,146,146,NA,NA,NA,NA,14,10,NA,NA,NA,NA
210,-104.75,36.75,2003,fall,182.5,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
211,-104.75,36.75,2006,fall,NA,300,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
212,-104.75,38.25,2014,fall,277,277,NA,NA,NA,NA,7,5,NA,NA,NA,NA
213,-104.75,38.75,2001,fall,NA,196,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
214,-104.75,38.75,2002,fall,228,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
215,-104.75,38.75,2003,fall,188,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
216,-104.75,38.75,2016,fall,199,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
217,-104.75,39.25,2004,fall,NA,236,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
218,-104.75,39.25,2017,fall,227,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA
219,-104.75,39.25,2018,fall,254,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
220,-104.75,39.75,1977,fall,198,198,NA,NA,NA,NA,7,5,NA,NA,NA,NA
221,-104.75,39.75,1978,fall,192,192,NA,NA,NA,NA,7,5,NA,NA,NA,NA
222,-104.75,39.75,1979,fall,193,193,NA,NA,NA,NA,7,5,NA,NA,NA,NA
223,-104.75,39.75,1980,fall,203,203,NA,NA,NA,NA,7,5,NA,NA,NA,NA
224,-104.75,39.75,1981,fall,196,196,NA,NA,NA,NA,7,5,NA,NA,NA,NA
225,-104.75,39.75,1982,fall,221,221,NA,NA,NA,NA,7,5,NA,NA,NA,NA
226,-104.75,39.75,1983,fall,193,193,NA,NA,NA,NA,7,5,NA,NA,NA,NA
227,-104.75,39.75,1984,fall,194,194,NA,NA,NA,NA,7,5,NA,NA,NA,NA
228,-104.75,39.75,1985,fall,195,195,NA,NA,NA,NA,7,5,NA,NA,NA,NA
229,-104.75,39.75,1987,fall,194,194,NA,NA,NA,NA,7,5,NA,NA,NA,NA
230,-104.75,39.75,1988,spring,182,182,NA,NA,NA,NA,7,5,NA,NA,NA,NA
231,-104.75,39.75,1989,fall,189,189,NA,NA,NA,NA,7,5,NA,NA,NA,NA
232,-104.75,39.75,1990,fall,188,188,NA,NA,NA,NA,7,5,NA,NA,NA,NA
233,-104.75,39.75,1991,fall,187,187,NA,NA,NA,NA,7,5,NA,NA,NA,NA
234,-104.75,39.75,1992,fall,194,194,NA,NA,NA,NA,7,5,NA,NA,NA,NA
235,-104.75,39.75,1993,fall,186,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
236,-104.75,39.75,1994,spring,174,174,NA,NA,NA,NA,7,5,NA,NA,NA,NA
237,-104.75,39.75,1995,fall,189,189,NA,NA,NA,NA,7,5,NA,NA,NA,NA
238,-104.75,39.75,1997,fall,186,186,NA,NA,NA,NA,7,5,NA,NA,NA,NA
239,-104.75,39.75,1998,fall,195,195,NA,NA,NA,NA,7,5,NA,NA,NA,NA
240,-104.75,39.75,1999,fall,193,193,NA,NA,NA,NA,7,5,NA,NA,NA,NA
241,-104.75,39.75,2000,fall,187,187,NA,NA,NA,NA,7,5,NA,NA,NA,NA
242,-104.75,39.75,2001,fall,183,183,183,NA,NA,NA,7,5,7,NA,NA,NA
243,-104.75,39.75,2002,fall,187,187,NA,NA,NA,NA,7,5,NA,NA,NA,NA
244,-104.75,39.75,2004,fall,193,193,NA,NA,NA,NA,7,5,NA,NA,NA,NA
245,-104.75,39.75,2005,fall,193,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
246,-104.75,39.75,2007,fall,184,184,NA,NA,NA,NA,7,5,NA,NA,NA,NA
247,-104.75,39.75,2008,fall,205,205,NA,NA,NA,NA,7,5,NA,NA,NA,NA
248,-104.75,39.75,2010,fall,209,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
249,-104.75,39.75,2014,fall,203,220.5,NA,NA,NA,NA,21,10,NA,NA,NA,NA
250,-104.75,39.75,2015,fall,234.5,244,NA,NA,NA,NA,28,55,NA,NA,NA,NA
251,-104.75,39.75,2015,spring,173,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
252,-104.75,39.75,2016,fall,212.5,218.5,NA,NA,NA,NA,28,70,NA,NA,NA,NA
253,-104.75,39.75,2017,fall,234,196,NA,NA,NA,NA,98,10,NA,NA,NA,NA
254,-104.75,39.75,2017,spring,166,175,NA,NA,NA,NA,56,10,NA,NA,NA,NA
255,-104.75,39.75,2018,fall,251,227,NA,NA,NA,NA,35,70,NA,NA,NA,NA
256,-104.75,39.75,2018,spring,151,172,NA,NA,NA,NA,7,5,NA,NA,NA,NA
257,-104.75,40.75,2014,spring,146,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
258,-104.75,41.25,1985,spring,166,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
259,-104.75,41.25,1986,fall,185,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
260,-104.75,41.25,1988,spring,164,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
261,-104.75,41.25,1989,spring,168,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
262,-104.75,41.25,1993,spring,178,178,NA,NA,NA,NA,7,5,NA,NA,NA,NA
263,-104.75,48.75,2004,spring,174,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
264,-104.75,48.75,2005,fall,182,182,NA,NA,NA,NA,7,5,NA,NA,NA,NA
265,-104.75,48.75,2006,fall,NA,204,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
266,-104.75,50.25,1995,spring,170,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
267,-104.75,50.25,1997,spring,170,170,NA,NA,NA,NA,7,5,NA,NA,NA,NA
268,-104.75,50.25,1999,spring,NA,168,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
269,-104.75,50.25,2000,spring,NA,173,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
270,-104.75,50.25,2001,spring,177,177,NA,NA,NA,NA,7,5,NA,NA,NA,NA
271,-104.75,50.25,2003,spring,170,170,NA,NA,NA,NA,7,5,NA,NA,NA,NA
272,-104.75,50.25,2004,spring,181,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
273,-104.75,50.25,2005,spring,173,173,NA,NA,NA,NA,7,5,NA,NA,NA,NA
274,-104.75,50.25,2006,spring,91,173,NA,NA,NA,NA,7,5,NA,NA,NA,NA
275,-104.75,50.25,2007,spring,172,172,NA,NA,NA,NA,7,5,NA,NA,NA,NA
276,-104.75,50.25,2008,spring,171,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
