"","lonid","latid","ObsYear","season","VANCAR.5.mean","DANPLE.5.mean","AGRAVAN.5.mean","EURPRO.5.mean","CHICAT.5.mean","ASCMON.5.mean"
"59",-123.25,44.25,2015,"fall",186,186,NA,NA,NA,NA
"60",-123.25,44.25,2016,"fall",NA,184,NA,NA,NA,NA
"61",-123.25,44.25,2017,"fall",185,185,NA,NA,NA,NA
"62",-123.25,44.25,2017,"spring",NA,151,NA,NA,NA,NA
"63",-122.75,37.75,1987,"fall",192,NA,NA,NA,NA,NA
"64",-122.75,37.75,1988,"spring",177,NA,NA,NA,NA,NA
"65",-122.75,37.75,1991,"spring",180,180,NA,NA,NA,NA
"66",-122.75,37.75,1992,"spring",179,179,NA,NA,NA,NA
"67",-122.75,37.75,1997,"spring",NA,179,NA,NA,NA,NA
"68",-122.75,37.75,1998,"spring",178,NA,NA,NA,NA,NA
"69",-122.75,37.75,2000,"spring",NA,176,NA,NA,NA,NA
"70",-122.75,37.75,2001,"spring",174,NA,NA,NA,NA,NA
"71",-122.75,37.75,2002,"spring",173,173,NA,NA,NA,NA
"72",-122.75,37.75,2003,"spring",172,33,NA,NA,NA,NA
"73",-122.75,37.75,2004,"spring",171,171,NA,NA,NA,NA
"74",-122.75,37.75,2005,"fall",190,190,NA,NA,NA,NA
"75",-122.75,37.75,2007,"spring",NA,174,NA,NA,NA,NA
"76",-122.75,37.75,2008,"spring",181,NA,NA,NA,NA,NA
"77",-122.75,37.75,2009,"spring",165,NA,NA,NA,NA,NA
"78",-122.75,37.75,2010,"spring",170,170,NA,NA,NA,NA
"79",-122.75,37.75,2011,"spring",170,NA,NA,NA,NA,NA
"80",-122.75,37.75,2012,"fall",NA,287,NA,NA,NA,NA
"81",-122.75,37.75,2012,"spring",176,131,NA,NA,NA,NA
"82",-122.75,37.75,2013,"spring",173,173,NA,NA,NA,NA
"83",-122.75,37.75,2015,"spring",NA,171,NA,NA,NA,NA
"84",-122.75,37.75,2016,"spring",164,NA,NA,NA,NA,NA
"85",-122.75,37.75,2017,"spring",154,NA,NA,NA,NA,NA
"86",-122.75,38.25,1987,"fall",193,193,NA,NA,NA,NA
"87",-122.75,38.25,1988,"spring",NA,178,NA,NA,NA,NA
"88",-122.75,38.25,1989,"spring",NA,176,NA,NA,NA,NA
"89",-122.75,38.25,1991,"spring",181,181,NA,NA,NA,NA
"90",-122.75,38.25,1992,"spring",180,180,NA,NA,NA,NA
"91",-122.75,38.25,1994,"spring",NA,NA,177,NA,NA,NA
"92",-122.75,38.25,1995,"spring",177,NA,NA,NA,NA,NA
"93",-122.75,38.25,1996,"spring",NA,175,NA,NA,NA,NA
"94",-122.75,38.25,1997,"spring",180,180,NA,NA,NA,NA
"95",-122.75,38.25,1998,"spring",179,NA,NA,NA,NA,NA
"96",-122.75,38.25,1999,"spring",NA,178,NA,NA,NA,NA
"97",-122.75,38.25,2000,"spring",177,177,NA,NA,NA,NA
"98",-122.75,38.25,2002,"spring",146,NA,NA,NA,NA,NA
"99",-122.75,38.25,2003,"fall",194,NA,NA,NA,NA,NA
"100",-122.75,38.25,2003,"spring",NA,83,NA,NA,NA,NA
"101",-122.75,38.25,2004,"fall",193,193,NA,NA,NA,NA
"102",-122.75,38.25,2004,"spring",169,NA,NA,NA,NA,NA
"103",-122.75,38.25,2005,"fall",184,194,NA,NA,NA,NA
"104",-122.75,38.25,2006,"fall",NA,191,NA,NA,NA,NA
"105",-122.75,38.25,2008,"fall",244.6,226.4,NA,NA,NA,NA
"106",-122.75,38.25,2008,"spring",104,NA,NA,NA,NA,NA
"107",-122.75,38.25,2009,"spring",180,NA,NA,NA,NA,NA
"108",-122.75,38.25,2010,"fall",182,NA,NA,NA,NA,NA
"109",-122.75,38.25,2011,"fall",187,317,NA,NA,NA,NA
"110",-122.75,38.25,2012,"fall",188,NA,NA,NA,NA,NA
"111",-122.75,38.25,2014,"fall",183,NA,NA,NA,NA,NA
"112",-122.75,38.25,2015,"fall",196,196,NA,NA,NA,NA
"113",-122.75,38.25,2015,"spring",120,NA,NA,NA,NA,NA
"114",-122.75,38.25,2016,"fall",183,183,NA,NA,NA,NA
"115",-122.75,38.25,2017,"fall",194,NA,NA,NA,NA,NA
"116",-122.75,38.25,2018,"spring",179,NA,179,NA,NA,NA
"117",-122.75,38.75,1997,"spring",NA,163,NA,NA,NA,NA
"118",-122.75,38.75,2001,"spring",137,NA,NA,NA,NA,NA
"119",-122.75,38.75,2015,"spring",100,89,NA,NA,NA,NA
"120",-122.75,38.75,2017,"spring",NA,88,NA,NA,NA,NA
"121",-122.75,39.25,2001,"spring",138,NA,NA,NA,NA,NA
"122",-122.75,39.25,2015,"fall",NA,264,NA,NA,NA,NA
"123",-122.75,40.75,2012,"fall",NA,191,NA,NA,NA,NA
"124",-122.75,41.25,2015,"fall",182,NA,NA,NA,NA,NA
"125",-122.75,41.75,1987,"spring",180,180,NA,NA,NA,NA
"126",-122.75,41.75,1988,"fall",184,184,NA,NA,NA,NA
"127",-122.75,41.75,1989,"fall",183,183,NA,NA,NA,NA
"128",-122.75,41.75,1990,"fall",189,189,NA,NA,NA,NA
"129",-122.75,41.75,1991,"fall",188,188,NA,NA,NA,NA
"130",-122.75,41.75,1992,"fall",186,186,NA,NA,NA,NA
"131",-122.75,41.75,1994,"spring",NA,177,NA,NA,NA,NA
"132",-122.75,41.75,2014,"fall",213,NA,NA,NA,NA,NA
"133",-122.75,41.75,2015,"spring",143,143,NA,NA,NA,NA
"134",-122.75,41.75,2017,"spring",124,NA,NA,NA,NA,NA
"135",-122.75,41.75,2018,"fall",NA,239,NA,NA,NA,NA
"136",-122.75,42.25,1987,"fall",186,186,NA,NA,NA,NA
"137",-122.75,42.25,1988,"fall",191,191,NA,NA,NA,NA
"138",-122.75,42.25,1989,"fall",182,182,NA,NA,NA,NA
"139",-122.75,42.25,1990,"fall",NA,188,NA,NA,NA,NA
"140",-122.75,42.25,1991,"spring",181,181,NA,NA,NA,NA
"141",-122.75,42.25,2002,"fall",195,194,NA,NA,NA,NA
"142",-122.75,42.25,2013,"fall",NA,244,NA,NA,NA,NA
"143",-122.75,42.25,2015,"fall",203,NA,NA,NA,NA,NA
"144",-122.75,42.25,2015,"spring",175,175,NA,NA,NA,NA
"145",-122.75,42.25,2016,"fall",197,NA,NA,NA,NA,NA
"146",-122.75,42.25,2016,"spring",158.8,163,NA,NA,NA,NA
"147",-122.75,42.25,2017,"fall",208.6,212.8,NA,NA,NA,NA
"148",-122.75,42.25,2017,"spring",139,NA,NA,NA,NA,NA
"149",-122.75,42.75,2002,"fall",NA,194,NA,NA,NA,NA
"150",-122.75,43.75,2002,"fall",219,NA,NA,NA,NA,NA
"151",-122.75,43.75,2004,"fall",198,NA,NA,NA,NA,NA
"152",-122.75,43.75,2004,"spring",146,NA,NA,NA,NA,NA
"153",-122.75,43.75,2005,"spring",109,NA,NA,NA,NA,NA
"154",-122.75,43.75,2009,"spring",159,159,NA,NA,NA,NA
"155",-122.75,44.75,1995,"fall",201,NA,NA,NA,NA,NA
"156",-122.75,44.75,1997,"fall",194,NA,NA,NA,NA,NA
"157",-122.75,44.75,1998,"fall",189,NA,NA,NA,NA,NA
"158",-122.75,44.75,2001,"fall",202,NA,NA,NA,NA,NA
"159",-122.75,44.75,2017,"fall",NA,183,NA,NA,NA,NA
"160",-122.75,45.25,2019,"fall",195,NA,NA,NA,NA,NA
"161",-122.75,45.75,1978,"fall",196,NA,NA,NA,NA,NA
"162",-122.75,45.75,1979,"spring",177,NA,NA,NA,NA,NA
"163",-122.75,45.75,1983,"fall",190,NA,NA,NA,NA,NA
"164",-122.75,46.75,1992,"fall",208,NA,NA,NA,NA,NA
"165",-122.25,36.75,2005,"fall",239.2,283.6,NA,NA,NA,NA
"166",-122.25,36.75,2005,"spring",167.6,67.6,NA,NA,NA,NA
"167",-122.25,36.75,2006,"fall",213.2,298.4,NA,NA,NA,NA
"168",-122.25,36.75,2006,"spring",NA,108,NA,NA,NA,NA
"169",-122.25,36.75,2007,"fall",198,292.2,NA,NA,NA,NA
"170",-122.25,36.75,2007,"spring",144,109.2,NA,NA,NA,NA
"171",-122.25,36.75,2008,"fall",254.4,270.6,NA,NA,NA,NA
"172",-122.25,36.75,2008,"spring",136,69.2,NA,NA,NA,NA
"173",-122.25,36.75,2009,"fall",211,302,NA,NA,NA,NA
"174",-122.25,36.75,2009,"spring",107.8,77,NA,NA,NA,NA
"175",-122.25,36.75,2010,"fall",229.6,292.6,NA,NA,NA,NA
"176",-122.25,36.75,2011,"fall",NA,286,286,NA,NA,NA
"177",-122.25,36.75,2012,"fall",291.2,250,NA,NA,NA,NA
"178",-122.25,36.75,2012,"spring",NA,180,NA,NA,NA,NA
"179",-122.25,36.75,2013,"fall",304,NA,NA,NA,NA,NA
"180",-122.25,36.75,2013,"spring",NA,129,NA,NA,NA,NA
"181",-122.25,36.75,2014,"spring",156.4,NA,NA,NA,NA,NA
"182",-122.25,37.25,1989,"spring",NA,176,NA,NA,NA,NA
"183",-122.25,37.25,1990,"fall",182,182,NA,NA,NA,NA
"184",-122.25,37.25,1991,"fall",187,187,NA,NA,NA,NA
"185",-122.25,37.25,1992,"fall",193,193,NA,NA,NA,NA
"186",-122.25,37.25,1993,"spring",178,NA,NA,NA,NA,NA
"187",-122.25,37.25,1995,"fall",183,NA,NA,NA,NA,NA
"188",-122.25,37.25,1996,"spring",NA,182,NA,NA,NA,NA
"189",-122.25,37.25,1997,"spring",NA,180,NA,NA,NA,NA
"190",-122.25,37.25,1998,"spring",179,179,NA,NA,NA,NA
"191",-122.25,37.25,1999,"spring",NA,178,NA,NA,NA,NA
"192",-122.25,37.25,2000,"spring",177,177,NA,NA,NA,NA
"193",-122.25,37.25,2001,"fall",182,182,NA,NA,NA,NA
"194",-122.25,37.25,2001,"spring",126,89,NA,NA,NA,NA
"195",-122.25,37.25,2002,"fall",300,276,244,NA,NA,NA
"196",-122.25,37.25,2002,"spring",181,181,NA,NA,NA,NA
"197",-122.25,37.25,2003,"fall",297,352,NA,NA,NA,NA
"198",-122.25,37.25,2003,"spring",180,88,NA,NA,NA,NA
"199",-122.25,37.25,2004,"spring",179,179,NA,NA,NA,NA
"200",-122.25,37.25,2005,"fall",238,238,NA,NA,NA,NA
"201",-122.25,37.25,2005,"spring",177,177,NA,NA,NA,NA
"202",-122.25,37.25,2006,"spring",NA,176,NA,NA,NA,NA
"203",-122.25,37.25,2007,"spring",125,175,NA,NA,NA,NA
"204",-122.25,37.25,2009,"fall",188,252,252,NA,NA,NA
"205",-122.25,37.25,2009,"spring",139,NA,NA,NA,NA,NA
"206",-122.25,37.25,2011,"fall",NA,296,NA,NA,NA,NA
"207",-122.25,37.25,2013,"fall",314,257,216,NA,NA,NA
"208",-122.25,37.25,2014,"spring",25,NA,NA,NA,NA,NA
"209",-122.25,37.25,2015,"fall",260,260,NA,NA,NA,NA
"210",-122.25,37.25,2015,"spring",73,57,NA,NA,NA,NA
"211",-122.25,37.25,2016,"spring",148,NA,NA,NA,NA,NA
"212",-122.25,37.25,2017,"fall",250,NA,NA,NA,NA,NA
"213",-122.25,37.25,2017,"spring",119,NA,NA,NA,NA,NA
"214",-122.25,37.25,2018,"fall",261,NA,NA,NA,NA,NA
"215",-122.25,37.25,2018,"spring",90.6,NA,NA,NA,NA,NA
"216",-122.25,37.75,1977,"spring",176,NA,176,NA,NA,NA
"217",-122.25,37.75,1978,"spring",175,175,175,NA,NA,NA
"218",-122.25,37.75,1979,"spring",174,174,174,NA,NA,NA
"219",-122.25,37.75,1980,"spring",180,180,180,NA,NA,NA
"220",-122.25,37.75,1981,"spring",178,178,178,NA,NA,NA
"221",-122.25,37.75,1982,"fall",183,183,NA,NA,NA,NA
"222",-122.25,37.75,1983,"spring",176,176,176,NA,NA,NA
"223",-122.25,37.75,1984,"spring",175,175,175,NA,NA,NA
"224",-122.25,37.75,1985,"spring",173,173,NA,NA,NA,NA
"225",-122.25,37.75,1986,"spring",171,171,171,NA,NA,NA
"226",-122.25,37.75,1987,"spring",171,171,171,NA,NA,NA
"227",-122.25,37.75,1988,"spring",177,177,NA,NA,NA,NA
"228",-122.25,37.75,1989,"spring",173,173,173,NA,NA,NA
"229",-122.25,37.75,1990,"spring",174,174,174,NA,NA,NA
"230",-122.25,37.75,1991,"fall",192,NA,NA,NA,NA,NA
"231",-122.25,37.75,1991,"spring",172,NA,172,NA,NA,NA
"232",-122.25,37.75,1992,"spring",171,171,171,NA,NA,NA
"233",-122.25,37.75,1993,"spring",173,NA,173,NA,NA,NA
"234",-122.25,37.75,1994,"fall",189,NA,189,NA,NA,NA
"235",-122.25,37.75,1994,"spring",171,NA,171,NA,NA,NA
"236",-122.25,37.75,1995,"spring",179,NA,179,NA,NA,NA
"237",-122.25,37.75,1996,"spring",180,180,180,NA,NA,NA
"238",-122.25,37.75,1997,"spring",171,165,171,NA,NA,NA
"239",-122.25,37.75,1998,"fall",192,192,NA,NA,NA,NA
"240",-122.25,37.75,1998,"spring",170,170,NA,NA,NA,NA
"241",-122.25,37.75,1999,"fall",184,NA,NA,NA,NA,NA
"242",-122.25,37.75,2000,"spring",170,NA,182,NA,NA,NA
"243",-122.25,37.75,2001,"fall",188,270,NA,NA,NA,NA
"244",-122.25,37.75,2001,"spring",173,173,173,NA,NA,NA
"245",-122.25,37.75,2002,"fall",282,341,335,NA,NA,NA
"246",-122.25,37.75,2002,"spring",131,85,NA,NA,NA,NA
"247",-122.25,37.75,2003,"fall",184,NA,354.6,NA,NA,NA
"248",-122.25,37.75,2003,"spring",171,31,171,NA,NA,NA
"249",-122.25,37.75,2004,"fall",NA,313,NA,NA,NA,NA
"250",-122.25,37.75,2004,"spring",166,31,166,NA,NA,NA
"251",-122.25,37.75,2005,"fall",185,NA,NA,NA,NA,NA
"252",-122.25,37.75,2005,"spring",171,72,NA,NA,NA,NA
"253",-122.25,37.75,2006,"fall",NA,295,NA,NA,NA,NA
"254",-122.25,37.75,2006,"spring",171,171,174,NA,NA,NA
"255",-122.25,37.75,2007,"spring",157,71,166,NA,NA,NA
"256",-122.25,37.75,2008,"spring",172,172,172,NA,NA,NA
"257",-122.25,37.75,2009,"spring",88,88,170,NA,NA,NA
"258",-122.25,37.75,2010,"fall",317,317,317,NA,NA,NA
"259",-122.25,37.75,2010,"spring",169,NA,169,NA,NA,NA
"260",-122.25,37.75,2011,"fall",184,184,184,NA,NA,NA
"261",-122.25,37.75,2011,"spring",168,100,168,NA,NA,NA
"262",-122.25,37.75,2012,"fall",238.4,301,206,NA,NA,NA
"263",-122.25,37.75,2012,"spring",167,17,167,NA,NA,NA
"264",-122.25,37.75,2013,"fall",194,303,NA,NA,NA,NA
"265",-122.25,37.75,2013,"spring",172,172,172,NA,NA,NA
"266",-122.25,37.75,2014,"fall",199,285,NA,NA,NA,NA
"267",-122.25,37.75,2014,"spring",102,164,164,NA,NA,NA
"268",-122.25,37.75,2015,"fall",NA,291,312,NA,NA,NA
"269",-122.25,37.75,2015,"spring",163,163,163,NA,NA,NA
"270",-122.25,37.75,2016,"spring",169,156,169,NA,NA,NA
"271",-122.25,37.75,2017,"spring",168,168,168,NA,NA,NA
"272",-122.25,37.75,2018,"spring",166,167,166,NA,NA,NA
"273",-122.25,38.25,1998,"fall",193,193,NA,NA,NA,NA
"274",-122.25,38.25,2000,"spring",NA,177,NA,NA,NA,NA
"275",-122.25,38.25,2003,"spring",165,NA,NA,NA,NA,NA
"276",-122.25,38.25,2004,"spring",170,NA,NA,NA,NA,NA
"277",-122.25,38.25,2005,"spring",150,150,NA,NA,NA,NA
"278",-122.25,38.25,2006,"spring",NA,171,NA,NA,NA,NA
"279",-122.25,38.25,2007,"spring",158,NA,NA,NA,NA,NA
"280",-122.25,38.25,2008,"spring",170,NA,170,NA,NA,NA
"281",-122.25,38.25,2009,"spring",176,NA,NA,NA,NA,NA
"282",-122.25,38.25,2010,"spring",171,NA,NA,NA,NA,NA
"283",-122.25,38.25,2011,"spring",NA,176,NA,NA,NA,NA
"284",-122.25,38.25,2013,"fall",288,288,288,NA,NA,NA
"285",-122.25,38.25,2014,"spring",NA,170,170,NA,NA,NA
"286",-122.25,38.25,2015,"spring",168,168,168,NA,NA,NA
"287",-122.25,38.25,2016,"spring",NA,168,168,NA,NA,NA
"288",-122.25,38.25,2017,"spring",173,NA,173,NA,NA,NA
"289",-122.25,38.25,2018,"spring",165,NA,NA,NA,NA,NA
"290",-122.25,38.75,1993,"spring",173,173,NA,NA,NA,NA
"291",-122.25,38.75,1994,"spring",163,NA,NA,NA,NA,NA
"292",-122.25,38.75,1995,"spring",160,NA,NA,NA,NA,NA
"293",-122.25,38.75,1997,"spring",NA,164,NA,NA,NA,NA
"294",-122.25,38.75,1998,"spring",165,165,NA,NA,NA,NA
"295",-122.25,38.75,2001,"spring",169,NA,NA,NA,NA,NA
"296",-122.25,38.75,2014,"spring",165,NA,NA,NA,NA,NA
"297",-122.25,38.75,2017,"spring",124,NA,NA,NA,NA,NA
"298",-122.25,39.25,2001,"spring",138,138,NA,NA,NA,NA
"299",-122.25,39.25,2013,"spring",118,132,NA,NA,NA,NA
"300",-122.25,39.75,2017,"spring",162,NA,NA,NA,NA,NA
"301",-122.25,40.25,2003,"fall",185,NA,NA,NA,NA,NA
"302",-122.25,40.25,2004,"fall",NA,262,NA,NA,NA,NA
"303",-122.25,40.25,2004,"spring",NA,87,NA,NA,NA,NA
"304",-122.25,40.25,2013,"fall",318,NA,NA,NA,NA,NA
"305",-122.25,40.25,2014,"fall",277,NA,NA,NA,NA,NA
"306",-122.25,40.25,2015,"spring",151,NA,NA,NA,NA,NA
"307",-122.25,40.25,2017,"spring",181,181,NA,NA,NA,NA
"308",-122.25,40.75,2002,"spring",NA,98,NA,NA,NA,NA
"309",-122.25,40.75,2013,"spring",NA,122,NA,NA,NA,NA
"310",-122.25,40.75,2014,"fall",NA,256,NA,NA,NA,NA
"311",-122.25,40.75,2014,"spring",96.6,NA,NA,NA,NA,NA
"312",-122.25,40.75,2015,"fall",185,224.6,NA,NA,NA,NA
"313",-122.25,40.75,2015,"spring",141.8,157,NA,NA,NA,NA
"314",-122.25,40.75,2016,"fall",NA,NA,287.6,NA,NA,NA
"315",-122.25,40.75,2016,"spring",99,92,NA,NA,NA,NA
"316",-122.25,40.75,2017,"fall",196.4,190,239.2,NA,NA,NA
"317",-122.25,40.75,2017,"spring",155,NA,NA,NA,NA,NA
"318",-122.25,40.75,2018,"fall",NA,222,313,NA,NA,NA
"319",-122.25,41.25,1987,"fall",187,187,NA,NA,NA,NA
"320",-122.25,41.25,1988,"fall",185,185,NA,NA,NA,NA
"321",-122.25,41.25,1989,"fall",189,189,NA,NA,NA,NA
"322",-122.25,41.25,1990,"fall",195,195,NA,NA,NA,NA
"323",-122.25,41.25,1991,"fall",185,185,NA,NA,NA,NA
"324",-122.25,41.25,1992,"fall",209,209,NA,NA,NA,NA
"325",-122.25,42.25,2002,"fall",196,NA,NA,NA,NA,NA
"326",-122.25,42.25,2012,"fall",186,NA,NA,NA,NA,NA
"327",-122.25,42.25,2013,"fall",185,NA,NA,NA,NA,NA
"328",-122.25,42.25,2014,"fall",185,185,NA,NA,NA,NA
"329",-122.25,42.25,2014,"spring",NA,178,NA,NA,NA,NA
"330",-122.25,42.25,2015,"spring",157,157,NA,NA,NA,NA
"331",-122.25,42.25,2016,"spring",163,163,NA,NA,NA,NA
"332",-122.25,42.25,2017,"spring",168,168,NA,NA,NA,NA
"333",-122.25,42.25,2018,"spring",NA,167,NA,NA,NA,NA
"334",-122.25,42.75,2002,"fall",198,NA,NA,NA,NA,NA
"335",-122.25,44.25,2001,"fall",202,NA,NA,NA,NA,NA
"336",-122.25,44.25,2002,"fall",199,NA,NA,NA,NA,NA
"337",-122.25,44.25,2003,"fall",200,NA,NA,NA,NA,NA
"338",-122.25,44.25,2004,"fall",199,NA,NA,NA,NA,NA
"339",-122.25,44.25,2005,"fall",197,NA,NA,NA,NA,NA
"340",-122.25,44.25,2006,"fall",196,NA,NA,NA,NA,NA
"341",-122.25,44.25,2008,"fall",201,NA,NA,NA,NA,NA
"342",-122.25,44.25,2009,"fall",206,NA,NA,NA,NA,NA
"343",-122.25,44.25,2010,"fall",205,NA,NA,NA,NA,NA
"344",-122.25,44.25,2012,"fall",210,NA,NA,NA,NA,NA
"345",-122.25,44.25,2014,"fall",207,NA,NA,NA,NA,NA
"346",-122.25,44.25,2015,"fall",208,NA,NA,NA,NA,NA
"347",-122.25,44.25,2016,"fall",198,NA,NA,NA,NA,NA
"348",-122.25,44.25,2017,"fall",206,NA,NA,NA,NA,NA
"349",-122.25,47.25,1998,"fall",198,NA,NA,NA,NA,NA
"350",-122.25,47.25,2001,"fall",203,NA,NA,NA,NA,NA
"351",-122.25,47.25,2003,"fall",187,NA,NA,NA,NA,NA
"352",-122.25,47.25,2004,"fall",185,NA,NA,NA,NA,NA
"353",-122.25,47.25,2004,"spring",117,NA,NA,NA,NA,NA
"354",-122.25,47.25,2005,"fall",184,NA,NA,NA,NA,NA
"355",-122.25,47.25,2014,"fall",186,NA,NA,NA,NA,NA
"356",-122.25,47.75,2001,"fall",218.2,NA,NA,NA,NA,NA
"357",-122.25,47.75,2002,"spring",143,NA,NA,NA,NA,NA
"358",-122.25,47.75,2003,"fall",256,NA,NA,NA,NA,NA
"359",-122.25,47.75,2003,"spring",117,NA,NA,NA,NA,NA
"360",-122.25,48.25,2001,"fall",248.2,NA,NA,NA,NA,NA
"361",-122.25,49.25,1993,"spring",170,NA,NA,NA,NA,NA
"362",-122.25,49.25,1995,"fall",189,189,NA,NA,NA,NA
"363",-122.25,49.25,2003,"spring",179,NA,NA,NA,NA,NA
"364",-122.25,49.25,2004,"spring",179,NA,NA,NA,NA,NA
"365",-122.25,49.25,2005,"spring",177,NA,NA,NA,NA,NA
"366",-121.75,36.25,1989,"spring",158,158,NA,NA,NA,NA
"367",-121.75,36.25,1991,"spring",166,166,NA,NA,NA,NA
"368",-121.75,36.25,1992,"spring",158,NA,NA,NA,NA,NA
"369",-121.75,36.25,1993,"spring",160,NA,NA,NA,NA,NA
"370",-121.75,36.25,1995,"spring",155,NA,NA,NA,NA,NA
"371",-121.75,36.25,1996,"spring",NA,160,NA,NA,NA,NA
"372",-121.75,36.25,1997,"spring",NA,169.6,NA,NA,NA,NA
"373",-121.75,36.25,2001,"spring",160,NA,NA,NA,NA,NA
"374",-121.75,36.25,2003,"spring",NA,158,NA,NA,NA,NA
"375",-121.75,36.25,2005,"spring",161,NA,NA,NA,NA,NA
"376",-121.75,36.25,2008,"spring",158,61,NA,NA,NA,NA
"377",-121.75,36.25,2009,"spring",168,87,NA,NA,NA,NA
"378",-121.75,36.25,2010,"spring",NA,154,NA,NA,NA,NA
"379",-121.75,36.25,2012,"spring",156,NA,NA,NA,NA,NA
"380",-121.75,36.25,2014,"spring",157,NA,NA,NA,NA,NA
"381",-121.75,36.25,2015,"spring",155,NA,NA,NA,NA,NA
"382",-121.75,36.25,2016,"spring",162,NA,NA,NA,NA,NA
"383",-121.75,36.75,2004,"spring",117,117,NA,NA,NA,NA
"384",-121.75,36.75,2008,"fall",191,NA,NA,NA,NA,NA
"385",-121.75,36.75,2009,"fall",188,NA,NA,NA,NA,NA
"386",-121.75,36.75,2010,"spring",173,NA,NA,NA,NA,NA
"387",-121.75,36.75,2011,"spring",166,166,NA,NA,NA,NA
"388",-121.75,36.75,2012,"spring",169,169,NA,NA,NA,NA
